noise_type,noise_level,best_denoise_method,best_accuracy,best_macro_f1,degraded_methods,degraded_threshold,source_metrics_file
motion,0.3,none,0.562407,0.561933,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json
motion,0.6,notch,0.438005,0.435745,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/motion_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/motion_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/motion_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/motion_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/motion_lvl0p6_notch/metrics_summary.json
motion,1.0,notch,0.293988,0.283328,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/motion_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/motion_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/motion_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/motion_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/motion_lvl1p0_notch/metrics_summary.json
pink,-5.0,kalman,0.168248,0.117942,pca,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/pink_lvlneg5p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/pink_lvlneg5p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/pink_lvlneg5p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/pink_lvlneg5p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/pink_lvlneg5p0_kalman/metrics_summary.json
pink,0.0,none,0.278036,0.261812,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/pink_lvl0p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/pink_lvl0p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/pink_lvl0p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/pink_lvl0p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/pink_lvl0p0_none/metrics_summary.json
pink,10.0,none,0.559566,0.559615,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/pink_lvl10p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/pink_lvl10p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/pink_lvl10p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/pink_lvl10p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/pink_lvl10p0_none/metrics_summary.json
pink,20.0,none,0.603000,0.602314,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/pink_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/pink_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/pink_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/pink_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/pink_lvl20p0_none/metrics_summary.json
spikes,0.1,none,0.606797,0.605929,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/spikes_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/spikes_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/spikes_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/spikes_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/spikes_lvl0p1_none/metrics_summary.json
spikes,0.3,none,0.595133,0.594328,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/spikes_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/spikes_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/spikes_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/spikes_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/spikes_lvl0p3_none/metrics_summary.json
spikes,0.6,notch,0.548448,0.547365,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/spikes_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/spikes_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/spikes_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/spikes_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/spikes_lvl0p6_notch/metrics_summary.json
spikes,1.0,notch,0.454586,0.452234,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/spikes_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/spikes_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/spikes_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/spikes_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/spikes_lvl1p0_notch/metrics_summary.json
wgn,-5.0,kalman,0.238535,0.210313,none;notch;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvlneg5p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/wgn_lvlneg5p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvlneg5p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvlneg5p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvlneg5p0_kalman/metrics_summary.json
wgn,0.0,notch,0.352366,0.344678,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl0p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/wgn_lvl0p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl0p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl0p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl0p0_notch/metrics_summary.json
wgn,10.0,notch,0.575000,0.574263,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl10p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/wgn_lvl10p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl10p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl10p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl10p0_notch/metrics_summary.json
wgn,20.0,none,0.605950,0.605200,kalman;pca;wavelet,0.02,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json
