experiment_id,category,dataset,method,model,condition,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,source_figure_file,status,notes
foundation_noise_wgn_lvl100_none_svm_rbf,noise_robustness,db5,wgn,SVM_RBF,noise=wgn; level=10.0; denoise=none,0.7166936265373329,0.7175009710144542,0.003256383185681328,0.003075391790982399,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl100_none_rf,noise_robustness,db5,wgn,RF,noise=wgn; level=10.0; denoise=none,0.880433017745832,0.8803453108661785,0.00561466389365719,0.005629383820143006,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_none_lda,noise_robustness,db5,wgn,LDA,noise=wgn; level=20.0; denoise=none,0.3695465753328059,0.36805385011040614,0.004867132128290467,0.0048744124199737665,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_none_svm_rbf,noise_robustness,db5,wgn,SVM_RBF,noise=wgn; level=20.0; denoise=none,0.7249707551784684,0.7257267602871631,0.0034431554599071356,0.003253572503232389,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_none_rf,noise_robustness,db5,wgn,RF,noise=wgn; level=20.0; denoise=none,0.9134320785312211,0.9133945869661219,0.0043271496145973545,0.004275930051651399,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_notch_lda,noise_robustness,db5,wgn,LDA,noise=wgn; level=20.0; denoise=notch,0.36542171698639,0.3641336831449132,0.0054514491746974845,0.005094755956654566,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_notch_svm_rbf,noise_robustness,db5,wgn,SVM_RBF,noise=wgn; level=20.0; denoise=notch,0.7235230297116492,0.7243083739870768,0.0053629988960126615,0.005233265665978317,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_notch_rf,noise_robustness,db5,wgn,RF,noise=wgn; level=20.0; denoise=notch,0.9094710762530855,0.9094248302888225,0.003348162064241739,0.0033904182432242086,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_kalman_lda,noise_robustness,db5,wgn,LDA,noise=wgn; level=20.0; denoise=kalman,0.3418471765413419,0.3410708796253618,0.004173639740896493,0.00439114490463546,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_kalman_svm_rbf,noise_robustness,db5,wgn,SVM_RBF,noise=wgn; level=20.0; denoise=kalman,0.7260088236849083,0.7266770585486482,0.0032124475208337912,0.003025667933703063,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_kalman_rf,noise_robustness,db5,wgn,RF,noise=wgn; level=20.0; denoise=kalman,0.8034802578193171,0.8037603464821371,0.0038815035007324777,0.0037873669781914037,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_dl_clean_lvl0.0_none,noise_robustness,db5,DL,dualres_xception2d,noise=clean; level=0.0; denoise=none,0.608272,0.607411,0.011788,0.011147,outputs/dl_noise_eval_full/fold1/dualres_xception2d/clean_lvl0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/clean_lvl0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/clean_lvl0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/clean_lvl0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/clean_lvl0_none/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.1_kalman,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.1; denoise=kalman,0.238862,0.218540,0.013734,0.013042,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p1_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p1_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p1_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p1_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p1_kalman/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.1_none,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.1; denoise=none,0.603055,0.602188,0.012615,0.011562,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p1_none/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.1_notch,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.1; denoise=notch,0.600350,0.599421,0.012098,0.011043,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p1_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p1_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p1_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p1_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p1_notch/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.1_pca,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.1; denoise=pca,0.386784,0.376635,0.015219,0.019152,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p1_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p1_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p1_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p1_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p1_pca/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.1_wavelet,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.1; denoise=wavelet,0.235311,0.218560,0.015543,0.014286,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p1_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p1_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p1_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p1_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p1_wavelet/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.3_kalman,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.3; denoise=kalman,0.258094,0.249995,0.022298,0.023146,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p3_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p3_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p3_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p3_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p3_kalman/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.3_none,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.3; denoise=none,0.534899,0.535968,0.022528,0.018790,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.3_notch,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.3; denoise=notch,0.532276,0.533229,0.023573,0.020052,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p3_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p3_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p3_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p3_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p3_notch/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.3_pca,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.3; denoise=pca,0.384571,0.374418,0.014843,0.018970,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p3_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p3_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p3_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p3_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p3_pca/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.3_wavelet,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.3; denoise=wavelet,0.245364,0.234682,0.022330,0.024272,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p3_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p3_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p3_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p3_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p3_wavelet/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.6_kalman,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.6; denoise=kalman,0.220560,0.193938,0.023575,0.028067,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p6_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p6_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p6_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p6_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p6_kalman/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.6_none,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.6; denoise=none,0.347940,0.341033,0.030588,0.030528,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p6_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p6_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p6_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p6_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p6_none/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.6_notch,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.6; denoise=notch,0.345536,0.338268,0.031487,0.031368,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p6_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p6_notch/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.6_pca,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.6; denoise=pca,0.373590,0.363311,0.016265,0.019007,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p6_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p6_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p6_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p6_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p6_pca/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl0.6_wavelet,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=0.6; denoise=wavelet,0.209333,0.179724,0.024505,0.030951,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p6_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p6_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p6_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p6_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p6_wavelet/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl1.0_kalman,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=1.0; denoise=kalman,0.168848,0.128102,0.014172,0.020365,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl1p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl1p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl1p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl1p0_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl1p0_kalman/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl1.0_none,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=1.0; denoise=none,0.206054,0.177051,0.018304,0.022822,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl1p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl1p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl1p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl1p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl1p0_none/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl1.0_notch,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=1.0; denoise=notch,0.205972,0.176608,0.017895,0.022470,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl1p0_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl1p0_notch/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl1.0_pca,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=1.0; denoise=pca,0.356763,0.346267,0.016455,0.018502,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl1p0_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl1p0_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl1p0_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl1p0_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl1p0_pca/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_drift_lvl1.0_wavelet,noise_robustness,db5,DL,dualres_xception2d,noise=drift; level=1.0; denoise=wavelet,0.167045,0.124320,0.014968,0.021688,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl1p0_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl1p0_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl1p0_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl1p0_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl1p0_wavelet/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_hum_lvl0.1_kalman,noise_robustness,db5,DL,dualres_xception2d,noise=hum; level=0.1; denoise=kalman,0.227088,0.201007,0.011496,0.010697,outputs/dl_noise_eval_full/fold1/dualres_xception2d/hum_lvl0p1_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/hum_lvl0p1_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/hum_lvl0p1_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/hum_lvl0p1_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/hum_lvl0p1_kalman/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_hum_lvl0.1_none,noise_robustness,db5,DL,dualres_xception2d,noise=hum; level=0.1; denoise=none,0.608818,0.607980,0.011975,0.011274,outputs/dl_noise_eval_full/fold1/dualres_xception2d/hum_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/hum_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/hum_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/hum_lvl0p1_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/hum_lvl0p1_none/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_hum_lvl0.1_notch,noise_robustness,db5,DL,dualres_xception2d,noise=hum; level=0.1; denoise=notch,0.605458,0.604441,0.012159,0.011430,outputs/dl_noise_eval_full/fold1/dualres_xception2d/hum_lvl0p1_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/hum_lvl0p1_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/hum_lvl0p1_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/hum_lvl0p1_notch/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/hum_lvl0p1_notch/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_hum_lvl0.1_pca,noise_robustness,db5,DL,dualres_xception2d,noise=hum; level=0.1; denoise=pca,0.389243,0.379389,0.016331,0.020246,outputs/dl_noise_eval_full/fold1/dualres_xception2d/hum_lvl0p1_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/hum_lvl0p1_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/hum_lvl0p1_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/hum_lvl0p1_pca/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/hum_lvl0p1_pca/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_hum_lvl0.1_wavelet,noise_robustness,db5,DL,dualres_xception2d,noise=hum; level=0.1; denoise=wavelet,0.227252,0.206576,0.014268,0.013735,outputs/dl_noise_eval_full/fold1/dualres_xception2d/hum_lvl0p1_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/hum_lvl0p1_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/hum_lvl0p1_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/hum_lvl0p1_wavelet/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/hum_lvl0p1_wavelet/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
foundation_noise_dl_hum_lvl0.3_kalman,noise_robustness,db5,DL,dualres_xception2d,noise=hum; level=0.3; denoise=kalman,0.229629,0.204223,0.011830,0.011709,outputs/dl_noise_eval_full/fold1/dualres_xception2d/hum_lvl0p3_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/hum_lvl0p3_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/hum_lvl0p3_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/hum_lvl0p3_kalman/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/hum_lvl0p3_kalman/metrics_summary.json,,confirmed,DL noise full matrix (clean-trained; 5-fold mean/std)
